Symbol,Timestamp,Source,MarketCap,EnterpriseValue,TotalCash,TotalDebt,TotalRevenue,RevenuePerShare,RevenueGrowth,EarningsGrowth,BookValue
AAPL,2025-06-09 11:54:15.244053,yahoo,3045708267520,3095401594880,48497999872,98186002432,400366010368,26.455,0.051,0.078,4.471
MSFT,2025-06-09 11:54:18.189923,yahoo,3496118321152,3521520861184,79617998848,105018998784,270010007552,36.325,0.133,0.177,43.3
GOOGL,2025-06-09 11:54:19.998428,yahoo,2114328199168,2040776753152,95328002048,28497999872,359713013760,29.338,0.12,0.488,28.405
AMZN,2025-06-09 11:54:21.974221,yahoo,2267344535552,2330722304000,94564999168,157952999424,650313007104,61.785,0.086,0.622,28.82
TSLA,2025-06-09 11:54:24.491075,yahoo,950634151936,927530024960,36996001792,13127999488,95724003328,29.867,-0.092,-0.707,23.184
META,2025-06-09 11:54:26.541907,yahoo,1754273284096,1733560238080,70229999616,49519001600,170359996416,67.349,0.161,0.365,73.337
NVDA,2025-06-09 11:54:28.508493,yahoo,3456210829312,3414561914880,53690998784,10284999680,148514996224,6.059,0.692,0.267,3.438
NFLX,2025-06-09 11:54:31.201220,yahoo,528335765504,537527549952,8370990080,17423486976,40173326336,93.794,0.125,0.252,56.446
ADBE,2025-06-09 11:54:33.612995,yahoo,177691312128,176818307072,7436000256,6562999808,22037000192,49.762,0.103,2.044,30.103
CRM,2025-06-09 11:54:35.960035,yahoo,262431571968,257043562496,17408000000,12019999744,38591000576,40.22,0.076,0.019,63.326
